,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
41,1.75,0.209,0.02146,0.01058,-0.0272,1.0,1.0
42,2.0,0.2269,0.02235,0.01148,-0.0275,1.0,1.0
43,2.25,0.2794,0.02355,0.01277,-0.0342,0.9858,1.0
44,2.5,0.3384,0.02464,0.01398,-0.0418,0.9647,1.0
45,2.75,0.3896,0.02553,0.01504,-0.0475,0.9419,1.0
46,3.0,0.4445,0.02628,0.01599,-0.0533,0.92,1.0
47,3.25,0.4931,0.02685,0.01679,-0.0576,0.8964,1.0
48,3.5,0.5394,0.02726,0.01745,-0.0609,0.8722,1.0
49,3.75,0.593,0.0273,0.01783,-0.0647,0.8485,1.0
50,4.0,0.641,0.02703,0.01789,-0.0665,0.8235,1.0
51,4.25,0.6805,0.02667,0.01786,-0.0664,0.7957,1.0
52,4.5,0.7211,0.02559,0.01708,-0.0647,0.7638,1.0
53,4.75,0.7519,0.02392,0.01557,-0.0597,0.7179,1.0
54,5.0,0.7757,0.02239,0.01406,-0.0536,0.6627,1.0
55,5.25,0.7942,0.02177,0.01339,-0.0486,0.6037,1.0
56,5.5,0.8098,0.02164,0.01319,-0.044,0.5323,1.0
57,5.75,0.8138,0.02235,0.01317,-0.0376,0.3749,1.0
58,6.0,0.8187,0.02581,0.01499,-0.0334,0.2201,1.0
59,6.25,0.8401,0.02806,0.01686,-0.032,0.1788,1.0
60,6.5,0.8678,0.03023,0.01896,-0.0312,0.1592,1.0
61,6.75,0.8978,0.03268,0.02152,-0.0306,0.1477,1.0
62,7.0,0.925,0.03533,0.02433,-0.03,0.1382,1.0
63,7.25,0.9498,0.03812,0.02711,-0.0294,0.1278,1.0
64,7.5,0.9712,0.0413,0.03099,-0.0279,0.1244,1.0
65,7.75,0.9897,0.04448,0.03461,-0.0265,0.1187,1.0
66,8.0,1.0078,0.04832,0.03866,-0.0255,0.1136,1.0
67,8.25,1.0203,0.05265,0.04355,-0.0238,0.1134,1.0
68,8.5,1.0281,0.05723,0.04867,-0.0221,0.1135,1.0
69,8.75,1.0307,0.06193,0.05388,-0.0205,0.1134,1.0
70,9.0,1.0303,0.06688,0.05923,-0.0191,0.1136,1.0
71,9.25,1.0245,0.07189,0.06468,-0.0179,0.1155,1.0
72,9.5,0.9834,0.0791,0.07244,-0.0181,0.1245,1.0
73,9.75,0.9758,0.08468,0.07811,-0.0182,0.1267,1.0
74,10.0,0.7879,0.08467,0.07838,-0.0136,0.1366,1.0
75,10.25,0.7659,0.09338,0.08709,-0.0175,0.1439,1.0
